ID;Property name;Address;Postcode;City;CKCode;Submarket;Completion Quarter;Completion Year;Development status;Type;Type of use;Tenant;Agent;Industry;Type;Floor space;Industrial Space: Subtype;Rent;Move-in Quarter;Move-in Year;Contract Quarter;Contract Year;Contract Duration;Use;gis_x;gis_y
24215;Telecolumbus-Haus;Ernst-Reuter-Platz 3 - 5;10587;Berlin;11000000;Charlottenburg;Q4;2003;Completed;Modernisation;"BU; EH;";Deutsche Bank AG;JLL;Banking;Vermietung;1360;;15,5;Q3;2016;Q3;2016;;BU;13,32093;52,5118
24215;Telecolumbus-Haus;Ernst-Reuter-Platz 3 - 5;10587;Berlin;11000000;Charlottenburg;Q4;2003;Completed;Modernisation;"BU; EH;";n/a;;Education;Vermietung;720;;16,5;Q3;2016;Q3;2016;;BU;13,32093;52,5118
24215;Telecolumbus-Haus;Ernst-Reuter-Platz 3 - 5;10587;Berlin;11000000;Charlottenburg;Q4;2003;Completed;Modernisation;"BU; EH;";n/a;;Business Services;Vermietung;680;;15,5;Q2;2016;Q3;2016;;BU;13,32093;52,5118
24215;Telecolumbus-Haus;Ernst-Reuter-Platz 3 - 5;10587;Berlin;11000000;Charlottenburg;Q4;2003;Completed;Modernisation;"BU; EH;";n/a;;Not for profit, Charity, Society;Vermietung;1390;;15,5;Q2;2016;Q2;2016;;BU;13,32093;52,5118
1563;Verwaltungsgebäude;Buckower Damm 110 - 114;12349;Berlin;11000000;Peripherie-Süd;Q4;1994;Completed;New Building;"BU;";BIM Berliner Immobilienmanagement GmbH / Land Berlin;;Public Organisation;Vermietung;2970;;17,9;Q4;2021;Q3;2021;;BU;13,4346;52,43334
1563;Verwaltungsgebäude;Buckower Damm 110 - 114;12349;Berlin;11000000;Peripherie-Süd;Q4;1994;Completed;New Building;"BU;";European University of Berlin Business;;Education;Vermietung;370;;14;Q3;2020;Q3;2020;;BU;13,4346;52,43334
1563;Verwaltungsgebäude;Buckower Damm 110 - 114;12349;Berlin;11000000;Peripherie-Süd;Q4;1994;Completed;New Building;"BU;";DAA Deutsche Angestellten-Akademie GmbHZentrale;CBRE;Education;Vermietung;800;;11,9;Q2;2018;Q2;2018;;BU;13,4346;52,43334
1563;Verwaltungsgebäude;Buckower Damm 110 - 114;12349;Berlin;11000000;Peripherie-Süd;Q4;1994;Completed;New Building;"BU;";n/a;;Fashion;Vermietung;1660;;10;Q2;2017;Q2;2017;;BU;13,4346;52,43334
60575;;Chausseestraße 21 / Invalidenstraße 112;10115;Berlin;11000000;Mitte;;;Completed;Existing;"BU; EH;";n/a;;Accountants;Vermietung;120;;27;Q2;2024;Q2;2024;;BU;13,38351;52,53051
60575;;Chausseestraße 21 / Invalidenstraße 112;10115;Berlin;11000000;Mitte;;;Completed;Existing;"BU; EH;";Homaris Service GmbH;;Real Estate Services;Vermietung;340;;28;Q3;2022;Q3;2022;;BU;13,38351;52,53051
